Ciudad;Nombre del Taller;Zona;Direccion;Telefonos;Horario de Atención;Contacto
La Paz;Baltika (LADA);Obrajes;Av. Hernando Siles #6217;76799988;Lun-Vie: 09:00-16:00;No especificado
La Paz;Servicio Automotriz Guachalla;Sopocachi;C. Cordero N° 2189;No especificado;No especificado;No especificado
La Paz;Honda Service;Miraflores;C. Cuba 1307;No especificado;No especificado;No especificado
La Paz;Electromecánica Chino;Miraflores;Av. Saavedra 1249;No especificado;No especificado;No especificado
La Paz;GO CAR Soluciones Automotrices;Bolognia;No especificado;71541959;No especificado;No especificado
Santa Cruz;LADA Central;Entre 4to y 5to Anillo;Av. Banzer entre 4to y 5to anillo;No especificado;No especificado;No especificado
Santa Cruz;Talleres Fangio SRL;Sur Oeste;Av. 4to Anillo Doble Vía La Guardia Calle Jenecheru N°4005;3599456;No especificado;No especificado
Santa Cruz;Am Service Ltda;Centro;Ñuflo de Chavez Nº ...;No especificado;No especificado;No especificado
Santa Cruz;Autotronic Inyección Electrónica;Radial 26;Radial 26 Casi 3º Anillo Interno;No especificado;No especificado;No especificado
Cochabamba;LADA Cochabamba;Zona Norte;Av. Circunvalación #573;61677467;Lun-Vie: 08:00-16:00;No especificado
Cochabamba;Servi-Car;América Oeste;Av. América Oeste Esq. Colquiri #1724;No especificado;No especificado;No especificado
Cochabamba;Auto1;Hipódromo;Calle Gregorio Gamarra N° ...;No especificado;No especificado;No especificado
El Alto;Servicio Automotriz 16 de Julio;16 de Julio;Av. Juan Pablo II N° 3250;2841740;"Lun-Vie: 08:00-18:00; Sáb: 08:00-12:30";No especificado
El Alto;Autotronic ISAVI;Satelite;Juan Matienzo N° 460;No especificado;No especificado;No especificado
